,MovieID,imdbId,tmdbId,title,release_year,original_language,genre,overview,production_companies,keywords,cast,director,poster_url
10,11,112346,9087,The American President,1995,en,"['romance', 'drama', 'comedy']","Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","['Castle Rock Entertainment', 'Universal Pictures', 'Wildwood Enterprises']","['new love', 'usa president', 'the white house', 'holiday', 'global warming', 'press', 'fossil fuel', 'dating', 'class differences', 'widower', 'wildlife conservation', 'lobbyist', 'father daughter relationship', 'widower with daughter', 'romantic']","['Michael Douglas', 'Annette Bening', 'Martin Sheen', 'Michael J. Fox', 'Anna Deavere Smith', 'Samantha Mathis', 'Shawna Waldron', 'David Paymer', 'Anne Haney', 'Richard Dreyfuss']",['Rob Reiner'],https://image.tmdb.org/t/p/w500/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
11,12,112896,12110,Dracula: Dead and Loving It,1995,en,"['comedy', 'horror']","When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.","['Castle Rock Entertainment', 'Brooksfilms', 'Gaumont']","['vampire', 'satire', 'spoof', 'dracula']","['Leslie Nielsen', 'Mel Brooks', 'Amy Yasbeck', 'Peter MacNicol', 'Lysette Anthony', 'Harvey Korman', 'Steven Weber', 'Mark Blankfield', 'Megan Cavanagh', 'Gregg Binkley']",['Mel Brooks'],https://image.tmdb.org/t/p/w500/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg
12,13,112453,21032,Balto,1995,en,"['history', 'animation', 'adventure', ""children's"", 'drama', 'family']","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","['Amblin Entertainment', 'Amblimation', 'Universal Pictures']","['wolf', 'pet', 'cartoon', 'villain', 'dog-sledding race', 'alaska', 'dog', 'goose', 'bear attack', 'dog sled', 'cartoon wolf', 'pets', 'cartoon animal']","['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings', 'Phil Collins', 'Juliette Brewer', 'Jack Angel', 'Danny Mann', 'Robbie Rist', 'Sandra Dickinson']",['Simon Wells'],https://image.tmdb.org/t/p/w500/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg
13,14,113987,10858,Nixon,1995,en,"['history', 'drama']",A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,"['Cinergi Pictures', 'Hollywood Pictures', 'Illusion Entertainment Group']","['usa president', 'washington dc, usa', 'government', 'presidential election', '1970s', 'watergate scandal', 'biography', 'historical figure', 'richard nixon', '1960s', 'ambiguous', 'disapproving', 'disdainful', 'disheartening', 'earnest', 'empathetic', 'frustrated']","['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris', 'Bob Hoskins', 'E.G. Marshall', 'David Paymer', 'David Hyde Pierce', 'Paul Sorvino', 'Mary Steenburgen']",['Oliver Stone'],https://image.tmdb.org/t/p/w500/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg
14,15,112760,1408,Cutthroat Island,1995,en,"['romance', 'action', 'adventure']","Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","['Carolco Pictures', 'Forge', 'Laurence Mark Productions', 'Beckner/Gorman Productions', 'Le Studio Canal+', 'Tele-Communications', 'RCS Video', 'Cutthroat Productions L.P.']","['ship', 'treasure', 'exotic island', 'island', 'map', 'scalp', 'treasure map', 'sword fight', 'betrayal', 'pirate', 'heroine', 'swashbuckler', 'adventurer', 'pirate ship', '17th century']","['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide', 'Stan Shaw', 'Rex Linn', 'Paul Dillon', 'Christopher Masterson', 'Jimmie F. Skaggs']",['Renny Harlin'],https://image.tmdb.org/t/p/w500/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg
15,16,112641,524,Casino,1995,en,"['crime', 'drama', 'thriller']","In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.","['Universal Pictures', 'Syalis DA', 'Légende Films', 'Cappa/De Fina Productions']","['drug abuse', 'casino', 'based on novel or book', 'poker', 'italian american', 'gambling', '1970s', 'fbi', 'pimp', 'greed', 'cocaine', 'overdose', 'marriage', 'car bomb', 'rise and fall', 'money', 'murder', 'organized crime', 'mafia', 'jewish american', 'las vegas', 'desert', 'safe deposit box', '1980s', 'dramatic', 'suspenseful', 'brutal violence', 'fbi surveillance']","['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles', 'Alan King', 'Kevin Pollak', 'L.Q. Jones', 'Dick Smothers', 'Frank Vincent']",['Martin Scorsese'],https://image.tmdb.org/t/p/w500/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg
16,17,114388,4584,Sense and Sensibility,1995,en,"['romance', 'drama']","The Dashwood sisters, sensible Elinor and passionate Marianne, learn that their prospects of marriage seem doomed by their family's sudden loss of fortune. After Henry Dashwood dies unexpectedly, his estate must pass on by law to his son. These circumstances leave Mr. Dashwood's wife and daughters without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.","['Columbia Pictures', 'Mirage Enterprises', 'Good Machine']","['secret love', 'london, england', 'countryside', 'based on novel or book', 'widow', 'military officer', 'servant', 'country life', 'pneumonia', 'inheritance', 'period drama', 'rainstorm', 'decorum', 'horse carriage', 'young love', 'dowry', 'social class', '19th century', 'penniless', 'social elite', 'bloodletting', 'free spirited', 'sussex', 'sisters love', 'marry for money', 'secret engagement', 'devonshire, england']","['Emma Thompson', 'Kate Winslet', 'Alan Rickman', 'Hugh Grant', 'Gemma Jones', 'Greg Wise', 'Elizabeth Spriggs', 'Imogen Stubbs', 'Harriet Walter', 'James Fleet']",['Ang Lee'],https://image.tmdb.org/t/p/w500/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
17,18,113101,5,Four Rooms,1995,en,"['thriller', 'comedy']",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"['Miramax', 'A Band Apart']","['hotel', ""new year's eve"", 'witch', 'bet', 'sperm', 'hotel room', 'anthology', 'los angeles, california', 'hoodlum', 'multiple storylines', 'woman director']","['Tim Roth', 'Jennifer Beals', 'David Proval', 'Ione Skye', 'Madonna', 'Antonio Banderas', 'Quentin Tarantino', 'Paul Calderon', 'Bruce Willis', 'Lana McKissack']","['Robert Rodriguez', 'Alexandre Rockwell', 'Allison Anders', 'Quentin Tarantino']",https://image.tmdb.org/t/p/w500/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg
18,19,112281,9273,Ace Ventura: When Nature Calls,1995,en,"['crime', 'comedy', 'adventure']","Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",['Morgan Creek Entertainment'],"['kidnapping', 'africa', 'indigenous', 'human animal relationship', 'bat', 'stupidity', 'slapstick comedy', 'animals', 'pets']","['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton', 'Sophie Okonedo', 'Tommy Davidson', 'Adewale Akinnuoye-Agbaje', 'Danny Daniels', 'Sam Phillips']",['Steve Oedekerk'],https://image.tmdb.org/t/p/w500/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg
19,20,113845,11517,Money Train,1995,en,"['crime', 'action', 'comedy']","When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.","['Columbia Pictures', 'Peters Entertainment']","['new york city', 'sibling relationship', 'subway', 'new york subway', 'train robbery']","['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake', 'Chris Cooper', 'Joe Grifasi', 'Scott Sowers', 'Skipp Sudduth', 'Aida Turturro', 'Vincent Pastore']",['Joseph Ruben'],https://image.tmdb.org/t/p/w500/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg
20,21,113161,8012,Get Shorty,1995,en,"['thriller', 'crime', 'drama', 'comedy', 'action']","Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","['Metro-Goldwyn-Mayer', 'Jersey Films']","['based on novel or book', 'miami, florida', 'gambling', 'gangster', 'money', 'murder', 'travel', 'mobster', 'mafia', 'business', 'debt', 'hollywood', 'drugs', 'producer', 'con']","['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina', 'Delroy Lindo', 'James Gandolfini', 'Jon Gries', 'Renee Props', 'David Paymer']",['Barry Sonnenfeld'],https://image.tmdb.org/t/p/w500/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg
21,22,112722,1710,Copycat,1995,en,"['crime', 'mystery', 'drama', 'thriller']",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,['Regency Enterprises'],"['police brutality', 'psychology', 'police operation', 'police protection', 'psychologist', 'serial killer', 'cowardliness']","['Sigourney Weaver', 'Holly Hunter', 'Dermot Mulroney', 'William McNamara', 'Harry Connick Jr.', 'J.E. Freeman', 'Will Patton', 'John Rothman', ""Shannon O'Hurley"", 'Bob Greene']",['Jon Amiel'],https://image.tmdb.org/t/p/w500/oMgwJb016znNZcpDR20eXxZoW8A.jpg
22,23,112401,9691,Assassins,1995,en,"['crime', 'action', 'thriller', 'adventure']","Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","['Warner Bros. Pictures', 'Silver Pictures', 'Donner/Shuler-Donner Productions']","['rescue', 'central intelligence agency (cia)', 'hitman', 'cat', 'bank', 'mexican standoff', 'seattle, washington', 'mission of murder', 'hidden camera', 'rivalry', 'shootout', 'police chase', 'sniper rifle', 'detroit, michigan', 'silencer', 'double cross', 'caribbean sea']","['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov', 'Muse Watson', 'Steve Kahan', 'Kelly Rowan', 'Reed Diamond', 'Kai Wulff', 'Kerry Skalsky']",['Richard Donner'],https://image.tmdb.org/t/p/w500/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg
23,24,114168,12665,Powder,1995,en,"['fantasy', 'drama', 'sci-fi']","Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.","['Hollywood Pictures', 'Caravan Pictures']","['teenage boy', 'held at gunpoint', 'teacher student relationship', 'albino', 'fainting', 'christ allegory', 'psionic power', 'healing power', 'flickering light', 'extrasensory perception', 'pale', 'powerful']","['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen', 'Jeff Goldblum', 'Brandon Smith', 'Bradford Tatum', 'Susan Tyrrell', 'Missy Crider', 'Ray Wise', 'Esteban Powell']",['Victor Salva'],https://image.tmdb.org/t/p/w500/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg
24,25,113627,451,Leaving Las Vegas,1995,en,"['romance', 'drama']","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","['Initial Productions', 'Lumière Pictures']","['hotel room', 'dying and death', 'individual', 'prostitute', 'lovesickness', 'rage and hate', 'casino', 'unsociability', 'alcohol', 'love at first sight', 'movie business', 'screenwriter', 'alcoholism', 'los angeles, california', 'las vegas', 'alcohol abuse', 'dramatic', 'depressing', 'tragic']","['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis', 'Steven Weber', 'Kim Adams', 'Emily Procter', 'Stuart Regen', 'Valeria Golino', 'Graham Beckel']",['Mike Figgis'],https://image.tmdb.org/t/p/w500/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg
25,26,114057,16420,Othello,1995,en,['drama'],The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,"['Castle Rock Entertainment', 'Dakota Films']","['jealousy', 'based on play or musical', 'friends', 'the moors (people)']","['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh', 'Nathaniel Parker', 'Michael Maloney', 'Anna Patrick', 'Nicholas Farrell', 'Indra Ové', 'Michael Sheen', 'John Savident']",['Oliver Parker'],https://image.tmdb.org/t/p/w500/kyevuYzW36wKadiE8lftLac5VwQ.jpg
26,27,114011,9263,Now and Then,1995,en,"['romance', 'drama', 'comedy']","Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",['New Line Cinema'],"['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']","['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch', 'Melanie Griffith', 'Gaby Hoffmann', 'Demi Moore', 'Ashleigh Aston Moore', 'Rita Wilson', 'Devon Sawa', 'Walter Sparrow']",['Lesli Linka Glatter'],https://image.tmdb.org/t/p/w500/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg
27,28,114117,17015,Persuasion,1995,en,"['romance', 'drama']","In early 19th-century England, dire financial straits reacquaint the aristocratic Anne Elliot with her wealthy ex-fiance Frederick Wentworth. The two must choose between either putting the past behind them or listening to their hearts.","['BBC Film', 'Millésime Productions', 'GBH', 'France 2']","['marriage proposal', 'strong woman', 'based on novel or book', 'love triangle', 'marriage', 'unrequited love', 'family in peril', 'old flame', 'admiral', 'bankruptcy', 'marriage broker', 'lovers reunited', 'lovers reunion', 'betrothal', 'rejected suitor']","['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood', 'Corin Redgrave', 'Fiona Shaw', 'John Woodvine', 'Phoebe Nicholls', 'Samuel West', 'Sophie Thompson', 'Simon Russell Beale']",['Roger Michell'],https://image.tmdb.org/t/p/w500/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg
28,29,112682,902,The City of Lost Children,1995,fr,"['fantasy', 'science fiction', 'sci-fi', 'adventure']","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","['Constellation', 'Lumière Pictures', 'Le Studio Canal+', 'France 3 Cinéma', 'Elías Querejeta PC', 'Tele München']","['rescue', 'friendship', 'island', 'dreams', 'clone', 'dystopia', 'eye', 'aging', 'steampunk', 'childhood', 'child kidnapping', 'flea']","['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork', 'Jean-Claude Dreyfus', 'Geneviève Brunet', 'Odile Mallet', 'Mireille Mossé', 'Serge Merlin', 'Rufus']","['Marc Caro', 'Jean-Pierre Jeunet']",https://image.tmdb.org/t/p/w500/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg
29,30,115012,37557,Shanghai Triad,1995,zh,"['crime', 'drama']","Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.","['Alpha Films', 'La Sept Cinéma', 'UGC', 'Shanghai Film Studios']","['shanghai, china', 'chinese mafia', 'coming of age', 'mistress', 'criminal underworld', 'drug lord', 'triad', 'modern china', 'nightclub singer', '1930s', 'cabaret singer', 'chinese triad']","['Gong Li', 'Li Baotian', 'Sun Chun', 'Li Xuejian', 'Liu Jiang', 'Fu Biao', 'Chen Shu', 'Wang Xiaoxiao', 'Jiang Baoying', 'Yang Qianquan']",['Zhang Yimou'],https://image.tmdb.org/t/p/w500/tzG1UxUSfPACREjgBrsPDRUvneH.jpg
30,31,112792,9909,Dangerous Minds,1995,en,['drama'],"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.","['Don Simpson/Jerry Bruckheimer Films', 'Hollywood Pictures', 'Via Rosa Productions']","['high school', 'california', 'rap music', 'karate', 'naval officer', 'teacher', 'based on memoir or autobiography', 'amusement park', 'schoolteacher']","['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance', 'Robin Bartlett', 'Beatrice Winde', 'John Neville', 'Lorraine Toussaint', 'Renoly Santiago', 'Wade Dominguez', 'Bruklin Harris']",['John N. Smith'],https://image.tmdb.org/t/p/w500/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg
