MovieID,title,release_year,original_language,genre,overview,production_companies,keywords,cast,director,poster_url,count,mean,weighted_rating
912,Casablanca,1942,en,"war, romance, drama","In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",Warner Bros. Pictures,"corruption, nazi, escape, love triangle, resistance, spy, patriotism, casablanca, morocco, vichy regime, visa, nationalism, world war ii, morocco, film noir, black and white, war, psychological drama, romantic, adoring, gloomy","Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine Lebeau, Dooley Wilson",Michael Curtiz,https://image.tmdb.org/t/p/w500/lGCEKlJo2CnWydQj7aamY7s1S7Q.jpg,1669,4.412822049131217,4.049395665762048
1197,The Princess Bride,1987,en,"adventure, family, comedy, fantasy, romance, action","In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.","The Princess Bride, Buttercup Films, Act III Productions","dreams, based on novel or book, narration, wrestling, miracle, sword fight, revenge, boat chase, pirate, wedding, swashbuckler, evil prince, screwball, impersonation, giant man, story within the story, hidden identity, fictitious country, grandfather grandson relationship, battle of wits, dramatic, romantic, adoring, enchant, fairytale","Cary Elwes, Robin Wright, Mandy Patinkin, Chris Sarandon, Christopher Guest, Wallace Shawn, André Roussimoff, Fred Savage, Peter Falk, Peter Cook",Rob Reiner,https://image.tmdb.org/t/p/w500/2FC9L9MrjBoGHYjYZjdWQdopVYb.jpg,2318,4.3037100949094045,4.043835761238068
1193,One Flew Over the Cuckoo's Nest,1975,en,drama,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",Fantasy Films,"mentally disabled, friendship, based on novel or book, nurse, lunatic asylum, affectation, insane asylum, oregon, usa, hospital, medication, female villain, shock treatment, medical drama, brisk, derisive, informative","Jack Nicholson, Brad Dourif, Louise Fletcher, Danny DeVito, William Redfield, Scatman Crothers, Christopher Lloyd, Will Sampson, Dean R. Brooks, Michael Berryman",Miloš Forman,https://image.tmdb.org/t/p/w500/kjWsMh72V6d8KRLV4EOoSJLT1H7.jpg,1725,4.390724637681159,4.0422174203953105
608,Fargo,1996,en,"crime, drama, thriller","Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!","PolyGram Filmed Entertainment, Working Title Films","salesclerk, unsociability, police, cheating, ransom, winter, kidnapping, minnesota, dark comedy, north dakota, money, murder, police officer, car dealership, woodchipper, macabre, false history, neo-noir, complex, minneapolis","Frances McDormand, William H. Macy, Steve Buscemi, Peter Stormare, Harve Presnell, John Carroll Lynch, Kristin Rudrüd, Bruce Bohne, Steve Reevis, Steve Park",Joel Coen,https://image.tmdb.org/t/p/w500/rt7cpEr1uP6RTZykBFhBTcRaKvG.jpg,2513,4.254675686430561,4.021602241948634
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1963,en,"war, comedy, sci-fi","After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop it.","Hawk Films, Columbia Pictures","usa president, general, cold war, strategic air command, dark comedy, nuclear missile, satire, black and white, cynical, war room, bomber pilot, nuclear weapons, ex-nazi, anti war, doomsday device, absurdism, satirical, hilarious, audacious, farcical, sardonic, everyone dies","Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens, Peter Bull, James Earl Jones, Tracy Reed, Jack Creley, Frank Berry",Stanley Kubrick,https://image.tmdb.org/t/p/w500/6x7MzQ6BOMlRzam1StcmPO9v61g.jpg,1367,4.4498902706656915,4.021487064467829
1221,The Godfather Part II,1974,en,"crime, action, drama","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.","Paramount Pictures, The Coppola Company","new year's eve, new york city, based on novel or book, italian american, cuba, italy, gangster, praise, blackmail, symbolism, senator, revenge, murder, betrayal, organized crime, extortion, mafia, lawyer, suburb, sicilian mafia, corrupt politician, macabre, 1950s, new year, violence","Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale, Talia Shire, Lee Strasberg, Michael V. Gazzo, G.D. Spradlin, Richard Bright",Francis Ford Coppola,https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,1692,4.357565011820331,4.014532397820799
296,Pulp Fiction,1994,en,"comedy, crime, drama, thriller","A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.","Miramax, A Band Apart, Jersey Films","drug dealer, drug crime, stolen money, crime boss, redemption, los angeles, california, theft, nonlinear timeline, multiple storylines, neo-noir, dramatic, amused","John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames, Harvey Keitel, Eric Stoltz, Tim Roth, Amanda Plummer, Maria de Medeiros",Quentin Tarantino,https://image.tmdb.org/t/p/w500/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,2171,4.278212805158913,4.011806954973774
110,Braveheart,1995,en,"war, history, action, drama","Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.","The Ladd Company, Icon Productions","england, scotland, loss of loved one, idealism, based on true story, catholic, medieval, war, dramatic, powerful","Mel Gibson, Catherine McCormack, Sophie Marceau, Patrick McGoohan, Angus Macfadyen, Brendan Gleeson, James Robinson, James Cosmo, Sean McGinley, Gerda Stevenson",Mel Gibson,https://image.tmdb.org/t/p/w500/or1gBugydmjToAEq7OZY0owwFk.jpg,2443,4.234957020057307,4.001405610860756
1136,Monty Python and the Holy Grail,1974,en,"fantasy, comedy, adventure","King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".","Python (Monty) Pictures, Michael White Productions, National Film Trustee Company, EMI Films","holy grail, swordplay, england, monk, wedding reception, scotland yard, animal attack, camelot, round table, chapter, satire, parody, breaking the fourth wall, knight, king arthur, knights of the round table, 10th century, anarchic comedy, hilarious, cheerful, shaggy dog story","Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin, Connie Booth, Carol Cleveland, Neil Innes, Bee Duffell","Terry Gilliam, Terry Jones",https://image.tmdb.org/t/p/w500/h3rksLHevpCbHfSoaUXm85nt2CH.jpg,1599,4.335209505941213,3.985733552779222
1617,L.A. Confidential,1997,en,"thriller, mystery, crime, film-noir, drama",Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner.,"Regency Enterprises, Wolper Organization","corruption, based on novel or book, call girl, shotgun, detective, femme fatale, domestic violence, whodunit, corpse, district attorney, movie star, good cop bad cop, angry, aggressive, neo-noir, zealous, 1950s, vindictive, admiring, approving, vibrant","Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell, Kim Basinger, Danny DeVito, David Strathairn, Ron Rifkin, Graham Beckel, Amber Smith",Curtis Hanson,https://image.tmdb.org/t/p/w500/lWCgf5sD5FpMljjpkRhcC8pXcch.jpg,2288,4.219405594405594,3.977777523198944
541,Blade Runner,1982,en,"thriller, science fiction, film-noir, drama, sci-fi","In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.","Shaw Brothers, The Ladd Company, Warner Bros. Pictures","android, flying car, bounty hunter, artificial intelligence (a.i.), genetics, based on novel or book, dystopia, futuristic, fugitive, cyberpunk, los angeles, california, alcoholic, origami, unicorn, tech noir, humanity, neo-noir, human clone, humanoid robot, blade runner, 2010s, suspenseful, excited, dystopian sci-fi","Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah, William Sanderson, Brion James, Joe Turkel, Joanna Cassidy",Ridley Scott,https://image.tmdb.org/t/p/w500/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,1800,4.273333333333333,3.9696031825405464
908,North by Northwest,1959,en,"drama, thriller, adventure","Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase.",Metro-Goldwyn-Mayer,"new york city, assassination, undercover agent, espionage, spy, cold war, mistaken identity, deception, romance, fugitive, on the run, advertising, framed, on the road, government agent, road movie, framed for murder, trains, cold war era, mount rushmore, absurd, suspenseful, adventure, man on the run, couple on the run, moral relativism, excited, vistavision","Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis, Leo G. Carroll, Josephine Hutchinson, Philip Ober, Martin Landau, Adam Williams, Edward Platt",Alfred Hitchcock,https://image.tmdb.org/t/p/w500/kNOFPQrel9YFCVzI0DF8FnCEpCw.jpg,1315,4.38403041825095,3.9687593779556387
904,Rear Window,1954,en,"mystery, thriller",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,Alfred J. Hitchcock Productions,"nurse, isolation, photographer, suspicion of murder, wheelchair, girlfriend, salesman, neighbor, whodunit, biting, convalescence, voyeurism, voyeur, missing wife, homebound, psychotic obsessions, suspicious behavior, huis clos, suspenseful, suspense mystery","James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr, Judith Evelyn, Ross Bagdasarian, Georgine Darcy, Sara Berner, Frank Cady",Alfred Hitchcock,https://image.tmdb.org/t/p/w500/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,1050,4.476190476190476,3.9613822863768853
